id,area,beds,baths,detail_url,image_urls,key_house
19804574,1326.0,4,2,https://www.zillow.com/homedetails/3261-Curling-Ct-San-Jose-CA-95121/19804574_zpid/,https://photos.zillowstatic.com/fp/1fd3b68c80964d9cea419fa480dbd58a-p_e.jpg,42
25625851,2240.0,3,2,https://www.zillow.com/homedetails/23872-Calle-Ganador-Mission-Viejo-CA-92691/25625851_zpid/,https://photos.zillowstatic.com/fp/a213f5935106ead310648db66811b31a-p_e.jpg,43
17569324,1539.0,4,2,https://www.zillow.com/homedetails/1445-Anita-St-Upland-CA-91786/17569324_zpid/,https://photos.zillowstatic.com/fp/10cb149bedade5968f2fdc6a11a78831-p_e.jpg,44
19921467,1700.0,4,3,https://www.zillow.com/homedetails/6236-Topeka-Dr-Reseda-CA-91335/19921467_zpid/,https://photos.zillowstatic.com/fp/f744f2b44ed05fdec0dfe616672eac40-p_e.jpg,45
25551650,3912.0,5,5,https://www.zillow.com/homedetails/27182-Westridge-Ln-Laguna-Hills-CA-92653/25551650_zpid/,https://photos.zillowstatic.com/fp/dde48c6b9295d624506ab4f5d3b2cdce-p_e.jpg,46
17992015,1152.0,2,2,https://www.zillow.com/homedetails/31090-Fretwell-Ave-Homeland-CA-92548/17992015_zpid/,https://photos.zillowstatic.com/fp/02b5e7b9606b0233bf8035547dc44efb-p_e.jpg,47
21530310,1202.0,3,2,https://www.zillow.com/homedetails/327-W-Nubia-St-San-Dimas-CA-91773/21530310_zpid/,https://photos.zillowstatic.com/fp/1709ba3456dae28f509e60258af34e12-p_e.jpg,48
250176300,0.0,0,0,https://www.zillow.com/homedetails/29224-Relief-Hill-Rd-Nevada-City-CA-95959/250176300_zpid/,https://photos.zillowstatic.com/fp/58cbf82ceb48310fc9850024f9c9c913-p_e.jpg,49
18937080,1244.0,3,1,https://www.zillow.com/homedetails/230-Rodman-St-Bakersfield-CA-93307/18937080_zpid/,https://photos.zillowstatic.com/fp/dbc011dce7c74aa5fd21630b7cd877d1-p_e.jpg,50
21209374,1216.0,3,2,https://www.zillow.com/homedetails/2054-N-Studebaker-Rd-Long-Beach-CA-90815/21209374_zpid/,https://photos.zillowstatic.com/fp/635b2425279d92a9bb903f83f132690b-p_e.jpg,51
25278951,1100.0,3,2,https://www.zillow.com/homedetails/19844-Kingswood-Ln-Huntington-Beach-CA-92646/25278951_zpid/,https://photos.zillowstatic.com/fp/5dea3d09163d6be48f916d4aef3ce104-p_e.jpg,52
59202079,882.0,2,1,https://www.zillow.com/homedetails/3436-Rainbow-Ln-Highland-CA-92346/59202079_zpid/,https://photos.zillowstatic.com/fp/25766183b7744533c0c160905a10d5e9-p_e.jpg,53
2057748258,1536.0,2,2,https://www.zillow.com/homedetails/31130-S-General-Kearny-Rd-156-Temecula-CA-92591/2057748258_zpid/,https://photos.zillowstatic.com/fp/33cfa1ed34d32521ca303550ae38ae83-p_e.jpg,54
2055922434,1387.0,3,3,https://www.zillow.com/homedetails/531-Sparrowhawk-Way-Ladera-Ranch-CA-92694/2055922434_zpid/,https://photos.zillowstatic.com/fp/cdf7bcb9923fbd3aa640a745418edca9-p_e.jpg,55
15742810,1064.0,3,1,https://www.zillow.com/homedetails/529-N-Jefferson-St-Cloverdale-CA-95425/15742810_zpid/,https://photos.zillowstatic.com/fp/0bfe577df01df3965364ad3cf29dc029-p_e.jpg,56
20849840,1054.0,2,1,https://www.zillow.com/homedetails/1506-E-Windsor-Rd-Glendale-CA-91205/20849840_zpid/,https://photos.zillowstatic.com/fp/c47f582b1a7a6db4c57764a1058fdaef-p_e.jpg,57
2060794916,0.0,0,0,https://www.zillow.com/homedetails/5464-Albright-St-28-Oceanside-CA-92057/2060794916_zpid/,https://photos.zillowstatic.com/fp/4af3eeb3f48eceedb6ead1e76b84cfc2-p_e.jpg,58
25553402,1934.0,4,2,https://www.zillow.com/homedetails/25142-Nueva-Vista-Dr-Laguna-Niguel-CA-92677/25553402_zpid/,https://photos.zillowstatic.com/fp/151d345df78822d665ad7ddc24d1e7ad-p_e.jpg,59
17115374,1538.0,3,2,https://www.zillow.com/homedetails/2342-Helix-St-Spring-Valley-CA-91977/17115374_zpid/,https://photos.zillowstatic.com/fp/a4e35c7491578d1e5338370e52d0ace3-p_e.jpg,60
20096481,1336.0,3,2,https://www.zillow.com/homedetails/7919-Day-St-Sunland-CA-91040/20096481_zpid/,https://photos.zillowstatic.com/fp/f10269257f546d3cc0891504fa79b686-p_e.jpg,61
18999712,1500.0,3,2,https://www.zillow.com/homedetails/3205-Colgate-Ln-Bakersfield-CA-93306/18999712_zpid/,https://photos.zillowstatic.com/fp/72ddd46e9c89d37337c70b5058aa3a45-p_e.jpg,62
25883591,1380.0,3,3,https://www.zillow.com/homedetails/418-Coventry-Ct-Folsom-CA-95630/25883591_zpid/,https://photos.zillowstatic.com/fp/8262e7419a5d1624b1968a6e87797089-p_e.jpg,63
21108278,836.0,3,1,https://www.zillow.com/homedetails/12121-163rd-St-Norwalk-CA-90650/21108278_zpid/,https://photos.zillowstatic.com/fp/e7f61ffbf1b457ef49b7d3141f58c6a0-p_e.jpg,64
18888836,1064.0,3,2,https://www.zillow.com/homedetails/1119-Pacific-St-Bakersfield-CA-93305/18888836_zpid/,https://photos.zillowstatic.com/fp/97ce69d0973bb9d35a7ac5b80fcc22ef-p_e.jpg,65
17279729,1358.0,3,2,https://www.zillow.com/homedetails/8674-Rosena-Ave-Fontana-CA-92335/17279729_zpid/,https://photos.zillowstatic.com/fp/d618fecdf1e6a5443ee8542b76c4f657-p_e.jpg,66
18961937,1804.0,4,2,https://www.zillow.com/homedetails/8425-Satinwood-Ave-California-City-CA-93505/18961937_zpid/,https://photos.zillowstatic.com/fp/c935b9cd0b5638700f82e314cc48088b-p_e.jpg,67
2068041742,650.0,1,1,https://www.zillow.com/homedetails/7141-Coldwater-Canyon-Ave-5-North-Hollywood-CA-91605/2068041742_zpid/,https://photos.zillowstatic.com/fp/dc0adec1219c94bc2d86568535a01d56-p_e.jpg,68
17910688,960.0,2,2,https://www.zillow.com/homedetails/22602-Raymond-Rd-Perris-CA-92570/17910688_zpid/,https://photos.zillowstatic.com/fp/0e35d42170d68556d8f5a14d483867aa-p_e.jpg,69
16897986,1571.0,4,2,https://www.zillow.com/homedetails/13220-Lamplite-Ln-Lakeside-CA-92040/16897986_zpid/,https://photos.zillowstatic.com/fp/ce107e1b83cb28106d79f4dc828c458d-p_e.jpg,70
21691377,1433.0,4,2,https://www.zillow.com/homedetails/16159-Maplegrove-St-La-Puente-CA-91744/21691377_zpid/,https://photos.zillowstatic.com/fp/bc1223f2132c8739ee1c7a3a4d13e6f6-p_e.jpg,71
17924838,1546.0,3,2,https://www.zillow.com/homedetails/22585-Ellis-St-Perris-CA-92570/17924838_zpid/,https://photos.zillowstatic.com/fp/3ecc533a8622ddae71dc5ee49a8706c9-p_e.jpg,72
